name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,trial_index,distance_m_tested,cpd_inv_tested,test_interval,observer_response,correct,quest_estimate_cpd_inv,quest_estimate_m,quest_sd_cpd_inv,retinal_spatial_freq_cpd,temporal_freq_hz
YanchengCai,ach,180,0.9,50,0.25,27,2.0,13,1.1775,-2.8218,1,1,1,-2.8518,1.217,0.11785,22.4688,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,14,1.1775,-2.8218,1,2,0,-2.78583,1.1311,0.13048,22.4688,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,15,1.1477,-2.79879,1,1,1,-2.80603,1.157,0.12065,21.9235,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,16,1.1477,-2.79879,2,2,1,-2.82364,1.1799,0.11094,21.9235,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,17,1.1477,-2.79879,2,2,1,-2.8388,1.1998,0.10185,21.9235,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,18,1.2079,-2.84494,1,1,1,-2.85197,1.2172,0.09488,23.0261,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,19,1.2079,-2.84494,1,1,1,-2.8637,1.2329,0.08863,23.0261,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,20,1.2079,-2.84494,2,2,1,-2.87416,1.247,0.08318,23.0261,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,21,1.2486,-2.87533,2,2,1,-2.88369,1.2599,0.07916,23.7719,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,22,1.2486,-2.87533,1,1,1,-2.8925,1.2719,0.07574,23.7719,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,23,1.2486,-2.87533,2,2,1,-2.90066,1.2831,0.07288,23.7719,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,24,1.2807,-2.8989,1,1,1,-2.90846,1.2938,0.07105,24.3614,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,25,1.2807,-2.8989,1,2,0,-2.8842,1.2606,0.0703,24.3614,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,26,1.2807,-2.8989,2,2,1,-2.89143,1.2705,0.06774,24.3614,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,27,1.2706,-2.89151,1,1,1,-2.89831,1.2799,0.06538,24.1755,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,28,1.2706,-2.89151,1,1,1,-2.90481,1.2888,0.06336,24.1755,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,29,1.2706,-2.89151,2,2,1,-2.91098,1.2973,0.06163,24.1755,45.0
YanchengCai,yv,600,0.92,50,0.05,27,2.0,0,1.5,-1.78419,1,1,1,-1.81589,1.5835,0.15537,5.6797,30.0
